Universe,Trade #,Entry Date,Exit Date,Hold Days,Exit Reason,Entry TS,Entry IV/RV,Entry Corr,P&L Underlying,P&L Gamma,P&L Vol,Total P&L
SMH,1,2024-03-26,2024-04-04,7,regime_flip,0.743,0.795,0.634,0.005,0.0131,-0.03513,-0.04408
SMH,2,2024-04-12,2024-04-22,7,regime_flip,0.841,0.811,0.631,0.07074,0.11365,0.04277,0.20011
SMH,3,2024-05-24,2024-06-04,7,regime_flip,0.827,0.638,0.451,-0.0068,0.02734,0.01175,0.00524
SMH,4,2024-06-05,2024-06-13,7,regime_flip,1.101,0.509,0.56,-0.04656,0.09627,0.03512,0.05778
SMH,5,2024-06-17,2024-06-26,7,regime_flip,1.079,0.598,0.496,0.01697,0.09435,0.03169,0.11596
SMH,6,2024-07-10,2024-07-18,7,regime_flip,0.665,0.91,0.519,0.04346,0.16818,0.12368,0.30827
SMH,7,2024-08-20,2024-08-28,7,regime_flip,0.885,0.568,0.76,0.01304,0.02289,-0.02081,-0.01193
SMH,8,2024-09-03,2024-09-11,7,regime_flip,0.896,0.582,0.854,0.04386,0.20917,0.065,0.29098
SMH,9,2024-10-10,2024-10-24,11,regime_flip,0.646,0.82,0.665,0.00173,0.05605,0.02092,0.05095
SMH,10,2024-11-07,2024-11-18,8,regime_flip,0.882,0.602,0.613,0.02742,0.02104,-0.00323,0.018
SMH,11,2024-11-26,2024-12-05,7,regime_flip,0.64,0.808,0.358,-0.02405,0.02773,-0.0061,-0.02947
SMH,12,2024-12-09,2024-12-17,7,regime_flip,0.948,0.605,0.374,-0.02581,0.22524,0.02507,0.19745
SMH,13,2025-05-29,2025-06-06,7,regime_flip,0.408,1.102,0.636,-0.02205,0.01239,0.01611,-0.0206
SMH,14,2025-06-09,2025-06-17,7,regime_flip,0.556,0.802,0.424,-0.01824,0.01227,-0.00967,-0.04269
SMH,15,2025-07-07,2025-07-15,7,regime_flip,0.674,0.765,0.596,-0.00185,0.00641,-0.01797,-0.04047
SMH,16,2025-12-04,2025-12-15,8,regime_flip,0.982,0.712,0.501,0.01468,0.11306,-0.01701,0.08351
SMH,17,2026-02-25,2026-03-05,7,regime_flip,0.717,1.085,0.398,0.02503,0.03894,0.04693,0.08385
SMH,18,2026-04-15,2026-04-20,4,end_of_data,0.698,0.935,0.28,-0.00984,0.00309,-0.01864,-0.03908
SOXX,1,2024-05-24,2024-06-04,7,regime_flip,0.827,0.649,0.451,-0.00352,0.02848,0.01187,0.00979
SOXX,2,2024-06-17,2024-06-26,7,regime_flip,1.079,0.616,0.496,0.01687,0.10251,0.01399,0.10632
SOXX,3,2024-07-10,2024-07-18,7,regime_flip,0.665,0.985,0.519,0.04021,0.17049,0.12919,0.31285
SOXX,4,2024-08-20,2024-08-28,7,regime_flip,0.885,0.589,0.76,0.01215,0.01821,-0.02567,-0.02236
SOXX,5,2024-09-03,2024-09-11,7,regime_flip,0.896,0.59,0.854,0.04452,0.20255,0.06406,0.28408
SOXX,6,2024-10-10,2024-10-23,10,regime_flip,0.646,0.82,0.665,-0.00088,0.05849,0.01055,0.04059
SOXX,7,2024-11-14,2024-11-22,7,regime_flip,0.753,0.683,0.621,0.00515,0.00759,-0.03713,-0.05144
SOXX,8,2024-11-26,2024-12-06,8,regime_flip,0.64,0.798,0.358,-0.01667,0.0259,-0.00174,-0.01974
SOXX,9,2024-12-09,2024-12-17,7,regime_flip,0.948,0.592,0.374,-0.02969,0.2246,0.02237,0.19023
SOXX,10,2025-05-19,2025-05-30,9,regime_flip,0.611,0.695,0.819,-0.0035,0.01689,-0.06016,-0.07417
SOXX,11,2025-06-02,2025-06-16,11,regime_flip,0.461,0.88,0.726,-0.03282,0.01455,0.00678,-0.03925
SOXX,12,2025-06-26,2025-07-08,8,regime_flip,0.561,0.716,0.751,-0.00906,0.0282,-0.02377,-0.03185
SOXX,13,2025-07-10,2025-07-18,7,regime_flip,0.619,0.781,0.613,-0.01481,0.02911,-0.0031,-0.01585
SOXX,14,2025-12-04,2025-12-15,8,regime_flip,0.982,0.662,0.501,0.01566,0.10815,-0.02469,0.07189
SOXX,15,2026-02-25,2026-03-05,7,regime_flip,0.717,1.027,0.398,0.02734,0.03792,0.05336,0.09157
