expiry,dte,atm_iv
2026-04-22,1,0.38812867736816403
2026-04-24,3,0.4376887286376953
2026-04-27,6,0.40015248291015626
2026-04-29,8,0.42816733947753904
2026-05-01,10,0.44284614776611325
2026-05-08,17,0.4435175277709961
2026-05-15,24,0.4256954403686524
2026-05-22,31,0.44530278823852537
2026-05-29,38,0.44437201141357424
2026-06-18,58,0.4844411907958984
2026-07-17,87,0.4728675150299073
2026-08-21,122,0.4692741061401367
2026-09-18,150,0.4801306259918214
2026-10-16,178,0.4797033841705321
2026-11-20,213,0.473187946395874
2026-12-18,241,0.48336545692443855
2027-01-15,269,0.47984834121704106
2027-03-19,332,0.47761676563262934
2027-06-17,422,0.4824384947586059
2027-09-17,514,0.483491340675354
2027-12-17,605,0.48404065158844
2028-01-21,640,0.48223250316619876
2028-06-16,787,0.4813284289550781
2028-12-15,969,0.47586965175628665
