expiry,dte,atm_iv
2026-04-22,1,0.1687400021362305
2026-04-23,2,0.1852193295288086
2026-04-24,3,0.19318433776855468
2026-04-27,6,0.17751371810913086
2026-04-28,7,0.1811910494995117
2026-04-29,8,0.19687692779541013
2026-04-30,9,0.20713073150634764
2026-05-01,10,0.20987728607177733
2026-05-08,17,0.20345340011596683
2026-05-15,24,0.20301089965820313
2026-05-22,31,0.20180546737670899
2026-05-29,38,0.19830361030578614
2026-06-18,58,0.20404848693847655
2026-06-30,70,0.2009204664611816
2026-07-17,87,0.20742064559936524
2026-08-21,122,0.2154695763397217
2026-09-18,150,0.2198793222808838
2026-09-30,162,0.22051255569458006
2026-10-16,178,0.22315611446380618
2026-12-18,241,0.23019416053771974
2026-12-31,254,0.23058325576782224
2027-01-15,269,0.2315903257751465
2027-03-19,332,0.2351188854598999
2027-03-31,344,0.23956677799224851
2027-06-17,422,0.24119754476547237
2027-09-17,514,0.24271196443557738
2027-12-17,605,0.2443522678565979
2028-01-21,640,0.24434654586791993
2028-06-16,787,0.31028674339294426
2028-12-15,969,0.2487753651046753
